resource_id,provider,account_subscription,region,resource_type,resource_name,environment,owner_team,monthly_cost_usd,backup_enabled,monitoring_enabled,public_exposure,tag_compliance
AZ-00089,Azure,Development,East US,Virtual Machine,ns-logs-089,Production,Application Engineering,147.82,Yes,Yes,Reviewed,Compliant
AZ-00090,Azure,Shared Services,us-east-2,Load Balancer,ns-web-090,Test,Cloud Operations,1087.14,Yes,Yes,No,Compliant
AW-00091,AWS,Shared Services,us-east-1,Storage,ns-web-091,Development,Infrastructure,27.32,Yes,Yes,No,Noncompliant
AZ-00092,Azure,Development,Central US,Database,ns-logs-092,Development,Application Engineering,934.19,Yes,Yes,No,Compliant
AZ-00093,Azure,Development,us-east-2,Virtual Machine,ns-net-093,Development,Cloud Operations,773.11,No,Yes,No,Compliant
AW-00094,AWS,Shared Services,East US,Network,ns-net-094,Development,Infrastructure,358.02,Yes,Yes,No,Compliant
AW-00095,AWS,Production,East US,Virtual Machine,ns-web-095,Development,Application Engineering,481.51,Yes,Yes,Reviewed,Compliant
AZ-00096,Azure,Development,Central US,Monitoring,ns-web-096,Test,Infrastructure,989.03,Yes,Yes,Reviewed,Compliant
AW-00097,AWS,Production,East US,Virtual Machine,ns-web-097,Development,Application Engineering,307.08,No,Yes,No,Compliant
AW-00098,AWS,Production,Central US,Database,ns-logs-098,Production,Application Engineering,916.15,No,Yes,Reviewed,Compliant
AZ-00099,Azure,Shared Services,Central US,Storage,ns-app-099,Development,Infrastructure,794.14,Yes,Yes,No,Compliant
AZ-00100,Azure,Shared Services,Central US,Load Balancer,ns-db-100,Development,Cloud Operations,53.44,No,Yes,No,Compliant
AZ-00101,Azure,Production,us-east-1,Network,ns-web-101,Test,Cloud Operations,1128.81,Yes,Yes,No,Compliant
AW-00102,AWS,Shared Services,us-east-2,Load Balancer,ns-app-102,Development,Cloud Operations,863.1,Yes,Yes,No,Compliant
AW-00103,AWS,Development,us-east-1,Load Balancer,ns-logs-103,Development,Infrastructure,1127.61,No,Yes,No,Compliant
AZ-00104,Azure,Shared Services,Central US,Monitoring,ns-net-104,Development,Application Engineering,691.8,Yes,Yes,No,Noncompliant
AZ-00105,Azure,Development,East US,Load Balancer,ns-net-105,Development,Cloud Operations,134.5,No,Yes,No,Compliant
AZ-00106,Azure,Shared Services,us-east-1,Monitoring,ns-net-106,Production,Infrastructure,741.07,Yes,Yes,No,Noncompliant
AZ-00107,Azure,Production,us-east-1,Network,ns-web-107,Production,Infrastructure,842.21,Yes,Yes,Reviewed,Noncompliant
AZ-00108,Azure,Development,East US,Storage,ns-app-108,Production,Cloud Operations,243.86,Yes,Yes,No,Compliant
AW-00109,AWS,Production,East US,Storage,ns-db-109,Production,Cloud Operations,349.46,Yes,Yes,No,Noncompliant
AZ-00110,Azure,Shared Services,East US,Virtual Machine,ns-web-110,Production,Infrastructure,232.09,No,Yes,No,Noncompliant
AZ-00111,Azure,Shared Services,Central US,Virtual Machine,ns-web-111,Test,Application Engineering,944.38,Yes,Yes,No,Compliant
AZ-00112,Azure,Development,us-east-2,Monitoring,ns-net-112,Development,Cloud Operations,384.67,Yes,Yes,No,Noncompliant
AZ-00113,Azure,Development,Central US,Load Balancer,ns-app-113,Production,Application Engineering,941.8,Yes,Yes,Reviewed,Compliant
AZ-00114,Azure,Production,us-east-1,Monitoring,ns-web-114,Development,Infrastructure,793.2,Yes,Yes,No,Compliant
AW-00115,AWS,Production,East US,Monitoring,ns-web-115,Test,Application Engineering,788.14,No,Yes,No,Noncompliant
AZ-00116,Azure,Production,us-east-1,Storage,ns-app-116,Production,Application Engineering,960.26,No,Yes,No,Compliant
AW-00117,AWS,Production,us-east-2,Database,ns-app-117,Test,Infrastructure,51.63,Yes,Yes,No,Compliant
AW-00118,AWS,Shared Services,us-east-2,Storage,ns-app-118,Production,Infrastructure,1023.76,Yes,Yes,No,Compliant
AZ-00119,Azure,Development,Central US,Virtual Machine,ns-net-119,Test,Infrastructure,1090.45,Yes,Yes,No,Compliant
AZ-00120,Azure,Shared Services,East US,Monitoring,ns-web-120,Test,Application Engineering,231.94,Yes,Yes,No,Compliant
AW-00121,AWS,Shared Services,East US,Network,ns-web-121,Production,Application Engineering,433.73,Yes,Yes,Reviewed,Compliant
AW-00122,AWS,Development,Central US,Monitoring,ns-net-122,Development,Cloud Operations,111.26,Yes,Yes,No,Noncompliant
AW-00123,AWS,Development,East US,Network,ns-logs-123,Production,Application Engineering,1126.61,No,Yes,No,Compliant
AZ-00124,Azure,Shared Services,us-east-2,Load Balancer,ns-app-124,Development,Infrastructure,611.48,Yes,Yes,No,Noncompliant
AZ-00125,Azure,Development,Central US,Storage,ns-web-125,Development,Application Engineering,472.58,Yes,Yes,Reviewed,Compliant
AZ-00126,Azure,Production,us-east-2,Virtual Machine,ns-net-126,Test,Application Engineering,1209.66,No,Yes,No,Compliant
AZ-00127,Azure,Development,Central US,Virtual Machine,ns-logs-127,Test,Cloud Operations,13.79,Yes,Yes,Reviewed,Noncompliant
AZ-00128,Azure,Production,East US,Database,ns-db-128,Production,Infrastructure,638.15,Yes,Yes,No,Compliant
AW-00129,AWS,Production,Central US,Network,ns-app-129,Development,Infrastructure,536.46,Yes,Yes,No,Noncompliant
AW-00130,AWS,Development,Central US,Network,ns-db-130,Test,Application Engineering,644.87,No,Yes,No,Noncompliant
AW-00131,AWS,Development,us-east-2,Virtual Machine,ns-web-131,Test,Application Engineering,186.83,Yes,Yes,Reviewed,Noncompliant
AZ-00132,Azure,Production,us-east-2,Load Balancer,ns-db-132,Development,Application Engineering,993.16,No,Yes,No,Compliant
AZ-00133,Azure,Shared Services,Central US,Database,ns-web-133,Production,Application Engineering,189.42,No,Yes,Reviewed,Compliant
AW-00134,AWS,Production,us-east-1,Storage,ns-web-134,Production,Cloud Operations,440.36,Yes,Yes,No,Compliant
AZ-00135,Azure,Production,us-east-2,Storage,ns-logs-135,Development,Infrastructure,943.55,No,Yes,No,Noncompliant
AW-00136,AWS,Development,East US,Database,ns-db-136,Test,Application Engineering,809.64,Yes,Yes,No,Compliant
AW-00137,AWS,Development,Central US,Load Balancer,ns-web-137,Production,Application Engineering,325.51,Yes,Yes,Reviewed,Compliant
AW-00138,AWS,Development,us-east-2,Monitoring,ns-net-138,Production,Infrastructure,1202.71,Yes,Yes,No,Compliant
AZ-00139,Azure,Shared Services,Central US,Database,ns-app-139,Test,Infrastructure,823.19,Yes,Yes,Reviewed,Noncompliant
AZ-00140,Azure,Development,us-east-2,Monitoring,ns-web-140,Test,Cloud Operations,316.26,Yes,Yes,No,Noncompliant
AZ-00141,Azure,Shared Services,us-east-2,Network,ns-logs-141,Test,Application Engineering,991.16,Yes,Yes,No,Noncompliant
AW-00142,AWS,Shared Services,us-east-2,Network,ns-logs-142,Test,Cloud Operations,1139.88,Yes,Yes,No,Compliant
AW-00143,AWS,Production,East US,Virtual Machine,ns-logs-143,Test,Application Engineering,1044.26,No,Yes,No,Compliant
AZ-00144,Azure,Production,East US,Storage,ns-app-144,Test,Application Engineering,659.19,Yes,Yes,No,Noncompliant
AZ-00145,Azure,Production,us-east-2,Storage,ns-db-145,Production,Application Engineering,1136.97,No,Yes,No,Compliant
AZ-00146,Azure,Shared Services,us-east-2,Monitoring,ns-web-146,Development,Application Engineering,793.4,Yes,Yes,No,Compliant
AZ-00147,Azure,Shared Services,Central US,Load Balancer,ns-logs-147,Test,Infrastructure,1202.74,No,Yes,No,Noncompliant
AZ-00148,Azure,Production,us-east-1,Network,ns-app-148,Development,Application Engineering,725.37,Yes,Yes,Reviewed,Noncompliant
AW-00149,AWS,Production,us-east-1,Database,ns-web-149,Test,Infrastructure,359.42,No,Yes,Reviewed,Compliant
AZ-00150,Azure,Production,Central US,Virtual Machine,ns-app-150,Test,Cloud Operations,311.12,Yes,Yes,Reviewed,Compliant
AW-00151,AWS,Shared Services,East US,Virtual Machine,ns-net-151,Test,Infrastructure,977.55,Yes,Yes,Reviewed,Compliant
AW-00152,AWS,Production,us-east-2,Network,ns-db-152,Production,Infrastructure,306.91,Yes,Yes,Reviewed,Compliant
AZ-00153,Azure,Shared Services,Central US,Storage,ns-net-153,Test,Infrastructure,601.04,Yes,Yes,Reviewed,Noncompliant
AZ-00154,Azure,Production,us-east-1,Load Balancer,ns-web-154,Test,Application Engineering,887.16,Yes,Yes,No,Noncompliant
AW-00155,AWS,Production,Central US,Load Balancer,ns-net-155,Production,Application Engineering,1220.19,No,Yes,No,Noncompliant
AW-00156,AWS,Shared Services,us-east-1,Database,ns-net-156,Production,Infrastructure,634.99,Yes,Yes,No,Compliant
AZ-00157,Azure,Shared Services,East US,Storage,ns-db-157,Development,Cloud Operations,1239.35,Yes,Yes,Reviewed,Compliant
AW-00158,AWS,Shared Services,Central US,Monitoring,ns-net-158,Test,Application Engineering,562.45,Yes,Yes,No,Compliant
AW-00159,AWS,Development,Central US,Database,ns-logs-159,Test,Application Engineering,116.7,Yes,Yes,No,Compliant
AW-00160,AWS,Production,us-east-2,Load Balancer,ns-app-160,Production,Infrastructure,971.65,No,Yes,No,Compliant
AZ-00161,Azure,Development,Central US,Monitoring,ns-logs-161,Test,Application Engineering,313.13,No,Yes,No,Compliant
AW-00162,AWS,Shared Services,East US,Storage,ns-net-162,Development,Application Engineering,747.79,Yes,Yes,No,Compliant
AW-00163,AWS,Production,us-east-1,Load Balancer,ns-db-163,Production,Cloud Operations,43.32,No,Yes,No,Compliant
AZ-00164,Azure,Development,East US,Network,ns-web-164,Test,Application Engineering,206.09,Yes,Yes,No,Compliant
AZ-00165,Azure,Shared Services,Central US,Database,ns-web-165,Production,Cloud Operations,169.44,Yes,Yes,No,Compliant
AW-00166,AWS,Production,East US,Monitoring,ns-app-166,Development,Infrastructure,710.24,Yes,Yes,No,Compliant
AW-00167,AWS,Development,us-east-1,Database,ns-logs-167,Test,Infrastructure,739.02,Yes,Yes,Reviewed,Compliant
AZ-00168,Azure,Development,Central US,Network,ns-db-168,Test,Cloud Operations,28.12,Yes,Yes,No,Compliant
AW-00169,AWS,Development,us-east-1,Storage,ns-net-169,Development,Infrastructure,62.8,No,Yes,No,Compliant
AZ-00170,Azure,Production,us-east-1,Monitoring,ns-logs-170,Test,Application Engineering,295.75,No,Yes,No,Compliant
AZ-00171,Azure,Shared Services,us-east-2,Network,ns-logs-171,Test,Application Engineering,757.89,No,Yes,Reviewed,Compliant
AW-00172,AWS,Production,us-east-2,Network,ns-db-172,Production,Infrastructure,190.9,No,Yes,No,Compliant
AZ-00173,Azure,Shared Services,us-east-1,Network,ns-web-173,Test,Cloud Operations,718.84,Yes,Yes,Reviewed,Compliant
AZ-00174,Azure,Development,East US,Monitoring,ns-net-174,Test,Infrastructure,415.52,No,Yes,No,Noncompliant
AZ-00175,Azure,Shared Services,us-east-1,Network,ns-web-175,Test,Infrastructure,449.27,Yes,Yes,Reviewed,Compliant
AW-00176,AWS,Shared Services,us-east-1,Monitoring,ns-db-176,Development,Application Engineering,578.21,No,Yes,Reviewed,Compliant
AZ-00177,Azure,Shared Services,Central US,Storage,ns-web-177,Production,Application Engineering,70.55,Yes,Yes,Reviewed,Compliant
AZ-00178,Azure,Shared Services,Central US,Virtual Machine,ns-db-178,Production,Cloud Operations,183.5,No,Yes,No,Compliant
AW-00179,AWS,Shared Services,Central US,Monitoring,ns-db-179,Development,Infrastructure,1047.38,Yes,Yes,No,Compliant
AW-00180,AWS,Development,East US,Monitoring,ns-db-180,Test,Infrastructure,542.11,Yes,Yes,No,Compliant
