server_id,hostname,platform,environment,os,ip_address,cpu_cores,memory_gb,storage_gb,backup_policy,monitoring_enabled,patch_ring,owner_team,criticality
SRV-034,NS-WEB-34,Azure,Development,Ubuntu 22.04 LTS,10.40.0.35,8,32,256,Silver-Daily,Yes,Ring-1,Infrastructure,Tier 2
SRV-035,NS-DB-35,Azure,Test,Ubuntu 22.04 LTS,10.24.0.36,4,16,256,Gold-4hr,Yes,Ring-2,Cloud Operations,Tier 1
SRV-036,NS-DC-36,Hyper-V,Production,Windows Server 2022,10.35.0.37,4,64,128,Gold-4hr,Yes,Ring-1,Cloud Operations,Tier 1
SRV-037,NS-DC-37,Azure,Development,Ubuntu 22.04 LTS,10.27.0.38,2,64,128,Bronze-Weekly,Yes,Ring-0,Infrastructure,Tier 1
SRV-038,NS-DC-38,Azure,Production,Ubuntu 22.04 LTS,10.33.0.39,8,32,512,Silver-Daily,Yes,Ring-2,Business Applications,Tier 2
SRV-039,NS-APP-39,Azure,Test,Windows Server 2022,10.21.0.40,4,16,512,Silver-Daily,Yes,Ring-1,Business Applications,Tier 3
SRV-040,NS-MON-40,Hyper-V,Test,Windows Server 2022,10.22.0.41,8,64,256,Gold-4hr,Yes,Ring-2,Cloud Operations,Tier 2
SRV-041,NS-APP-41,Hyper-V,Production,Windows Server 2022,10.20.0.42,4,32,512,Bronze-Weekly,Yes,Ring-1,Business Applications,Tier 2
SRV-042,NS-DB-42,Hyper-V,Test,Ubuntu 22.04 LTS,10.33.0.43,16,64,256,Gold-4hr,Yes,Ring-0,Infrastructure,Tier 3
SRV-043,NS-MON-43,AWS,Development,RHEL 9,10.32.0.44,2,16,256,Silver-Daily,Yes,Ring-0,Infrastructure,Tier 1
SRV-044,NS-FILE-44,Hyper-V,Production,Windows Server 2022,10.34.0.45,16,8,128,Silver-Daily,Yes,Ring-2,Infrastructure,Tier 1
SRV-045,NS-DB-45,Hyper-V,Production,Windows Server 2022,10.33.0.46,8,64,256,Gold-4hr,Yes,Ring-2,Infrastructure,Tier 1
SRV-046,NS-MON-46,VMware,Development,Ubuntu 22.04 LTS,10.37.0.47,16,64,512,Bronze-Weekly,Yes,Ring-1,Infrastructure,Tier 3
SRV-047,NS-FILE-47,AWS,Test,RHEL 9,10.33.0.48,16,32,512,Silver-Daily,Yes,Ring-2,Infrastructure,Tier 1
SRV-048,NS-DB-48,Hyper-V,Development,Ubuntu 22.04 LTS,10.18.0.49,4,32,128,Gold-4hr,Yes,Ring-2,Infrastructure,Tier 2
SRV-049,NS-DC-49,Azure,Production,RHEL 9,10.39.0.50,16,64,512,Gold-4hr,Yes,Ring-1,Cloud Operations,Tier 3
SRV-050,NS-APP-50,AWS,Development,Windows Server 2022,10.23.0.51,16,64,256,Gold-4hr,Yes,Ring-2,Business Applications,Tier 3
SRV-051,NS-DC-51,Hyper-V,Production,Ubuntu 22.04 LTS,10.12.0.52,16,16,512,Silver-Daily,Yes,Ring-2,Business Applications,Tier 3
SRV-052,NS-DC-52,Azure,Production,Windows Server 2022,10.15.0.53,4,32,128,Bronze-Weekly,Yes,Ring-1,Business Applications,Tier 2
SRV-053,NS-MON-53,Azure,Test,Windows Server 2022,10.20.0.54,2,16,128,Bronze-Weekly,Yes,Ring-0,Infrastructure,Tier 1
SRV-054,NS-DB-54,Azure,Production,RHEL 9,10.24.0.55,2,16,128,Gold-4hr,Yes,Ring-0,Cloud Operations,Tier 1
SRV-055,NS-DC-55,Azure,Development,Ubuntu 22.04 LTS,10.21.0.56,16,8,512,Gold-4hr,Yes,Ring-0,Infrastructure,Tier 2
SRV-056,NS-APP-56,Hyper-V,Test,Windows Server 2022,10.16.0.57,8,64,128,Gold-4hr,Yes,Ring-2,Infrastructure,Tier 2
SRV-057,NS-WEB-57,Hyper-V,Production,Windows Server 2022,10.24.0.58,2,16,1024,Silver-Daily,Yes,Ring-2,Cloud Operations,Tier 2
SRV-058,NS-MON-58,AWS,Production,RHEL 9,10.39.0.59,2,32,1024,Bronze-Weekly,Yes,Ring-1,Infrastructure,Tier 2
SRV-059,NS-MON-59,VMware,Production,Windows Server 2022,10.17.0.60,16,32,128,Gold-4hr,Yes,Ring-1,Business Applications,Tier 1
SRV-060,NS-WEB-60,Hyper-V,Production,Windows Server 2022,10.28.0.61,16,16,512,Gold-4hr,Yes,Ring-0,Infrastructure,Tier 2
