ticket_id,opened_at,cloud,category,priority,summary,status,assignment_group,resolution_hours,sla_met,root_cause,resolution
CLD-00019,2026-02-07T19:00:00,Azure,Security,P3,Azure security operational issue,Resolved,Cloud Operations,2.91,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00020,2026-06-20T16:00:00,AWS,Terraform,P3,AWS terraform operational issue,Resolved,Cloud Operations,5.04,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00021,2026-05-29T06:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,13.82,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00022,2026-05-01T05:00:00,AWS,Backup,P3,AWS backup operational issue,Resolved,Cloud Operations,3.33,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00023,2026-01-24T05:00:00,Azure,Network,P4,Azure network operational issue,Resolved,Cloud Operations,21.52,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00024,2026-03-12T21:00:00,Azure,Identity,P1,Azure identity operational issue,Resolved,Cloud Operations,9.1,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00025,2026-01-14T01:00:00,AWS,Storage,P3,AWS storage operational issue,Resolved,Cloud Operations,29.48,No,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00026,2026-03-12T00:00:00,AWS,Monitoring,P3,AWS monitoring operational issue,Resolved,Cloud Operations,34.0,No,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00027,2026-05-24T03:00:00,AWS,Monitoring,P4,AWS monitoring operational issue,Resolved,Cloud Operations,25.51,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00028,2026-04-01T21:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,35.61,No,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00029,2026-04-19T19:00:00,AWS,Network,P4,AWS network operational issue,Resolved,Cloud Operations,22.77,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00030,2026-01-15T10:00:00,Azure,Compute,P1,Azure compute operational issue,Resolved,Cloud Operations,2.15,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00031,2026-03-15T12:00:00,AWS,Security,P4,AWS security operational issue,Resolved,Cloud Operations,11.3,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00032,2026-02-17T17:00:00,Azure,Security,P4,Azure security operational issue,Resolved,Cloud Operations,9.56,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00033,2026-05-10T15:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,34.6,No,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00034,2026-04-06T04:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,7.27,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00035,2026-04-29T18:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,10.59,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00036,2026-03-07T00:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,20.15,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00037,2026-05-13T00:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,35.01,No,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00038,2026-05-10T14:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,6.72,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00039,2026-03-09T04:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,20.85,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00040,2026-06-29T22:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,38.12,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00041,2026-01-23T05:00:00,AWS,Database,P4,AWS database operational issue,Resolved,Cloud Operations,1.17,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00042,2026-06-22T07:00:00,Azure,Network,P3,Azure network operational issue,Resolved,Cloud Operations,36.88,No,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00043,2026-06-29T09:00:00,Azure,Backup,P4,Azure backup operational issue,Resolved,Cloud Operations,36.4,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00044,2026-03-21T23:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,38.83,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00045,2026-01-02T03:00:00,Azure,Cost,P4,Azure cost operational issue,Resolved,Cloud Operations,13.06,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00046,2026-04-12T20:00:00,Azure,Monitoring,P3,Azure monitoring operational issue,Resolved,Cloud Operations,4.98,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00047,2026-04-24T09:00:00,Azure,Compute,P4,Azure compute operational issue,Resolved,Cloud Operations,4.78,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00048,2026-05-01T20:00:00,Azure,Identity,P3,Azure identity operational issue,Resolved,Cloud Operations,11.59,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00049,2026-05-08T21:00:00,AWS,Identity,P4,AWS identity operational issue,Resolved,Cloud Operations,12.48,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00050,2026-02-01T16:00:00,AWS,Compute,P3,AWS compute operational issue,Resolved,Cloud Operations,11.41,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00051,2026-06-01T19:00:00,AWS,Identity,P4,AWS identity operational issue,Resolved,Cloud Operations,30.13,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00052,2026-02-08T16:00:00,AWS,Compute,P3,AWS compute operational issue,Resolved,Cloud Operations,9.99,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00053,2026-01-24T14:00:00,Azure,Cost,P3,Azure cost operational issue,Resolved,Cloud Operations,32.12,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00054,2026-05-29T02:00:00,Azure,Database,P3,Azure database operational issue,Resolved,Cloud Operations,5.55,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00055,2026-05-04T04:00:00,Azure,Cost,P2,Azure cost operational issue,Resolved,Cloud Operations,8.33,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00056,2026-02-09T08:00:00,AWS,Monitoring,P3,AWS monitoring operational issue,Resolved,Cloud Operations,0.7,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00057,2026-03-16T02:00:00,AWS,Identity,P4,AWS identity operational issue,Resolved,Cloud Operations,30.22,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00058,2026-01-08T00:00:00,AWS,Terraform,P3,AWS terraform operational issue,Resolved,Cloud Operations,25.54,No,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00059,2026-03-09T17:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,12.34,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00060,2026-05-19T12:00:00,AWS,Database,P4,AWS database operational issue,Resolved,Cloud Operations,18.13,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00061,2026-03-13T01:00:00,Azure,Security,P3,Azure security operational issue,Resolved,Cloud Operations,32.97,No,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00062,2026-01-16T17:00:00,Azure,Monitoring,P3,Azure monitoring operational issue,Resolved,Cloud Operations,21.34,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00063,2026-05-02T00:00:00,AWS,Terraform,P4,AWS terraform operational issue,Resolved,Cloud Operations,24.55,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00064,2026-03-19T17:00:00,AWS,Security,P4,AWS security operational issue,Resolved,Cloud Operations,15.1,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00065,2026-01-16T16:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,5.38,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00066,2026-02-13T06:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,12.53,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00067,2026-02-04T20:00:00,AWS,Cost,P4,AWS cost operational issue,Resolved,Cloud Operations,9.56,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00068,2026-01-04T00:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,29.74,No,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00069,2026-06-15T01:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,32.41,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00070,2026-03-31T05:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,6.67,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00071,2026-06-21T02:00:00,AWS,Database,P2,AWS database operational issue,Resolved,Cloud Operations,2.29,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00072,2026-04-20T22:00:00,Azure,Backup,P4,Azure backup operational issue,Resolved,Cloud Operations,21.65,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00073,2026-02-12T00:00:00,AWS,Monitoring,P4,AWS monitoring operational issue,Resolved,Cloud Operations,29.84,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00074,2026-04-25T11:00:00,Azure,Database,P2,Azure database operational issue,Resolved,Cloud Operations,9.97,No,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00075,2026-04-01T00:00:00,Azure,Storage,P4,Azure storage operational issue,Resolved,Cloud Operations,4.05,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00076,2026-02-20T00:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,24.68,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00077,2026-04-30T14:00:00,AWS,Database,P4,AWS database operational issue,Resolved,Cloud Operations,20.6,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00078,2026-06-04T06:00:00,AWS,Cost,P2,AWS cost operational issue,Resolved,Cloud Operations,5.49,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00079,2026-06-14T02:00:00,AWS,Storage,P3,AWS storage operational issue,Resolved,Cloud Operations,14.61,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00080,2026-04-07T09:00:00,AWS,Storage,P3,AWS storage operational issue,Resolved,Cloud Operations,4.66,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00081,2026-05-18T19:00:00,Azure,Network,P2,Azure network operational issue,Resolved,Cloud Operations,9.86,No,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00082,2026-02-08T16:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,6.87,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00083,2026-04-06T15:00:00,Azure,Monitoring,P3,Azure monitoring operational issue,Resolved,Cloud Operations,30.38,No,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00084,2026-05-06T09:00:00,Azure,Backup,P3,Azure backup operational issue,Resolved,Cloud Operations,14.5,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00085,2026-02-18T09:00:00,AWS,Backup,P2,AWS backup operational issue,Resolved,Cloud Operations,5.79,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00086,2026-05-04T18:00:00,Azure,Monitoring,P3,Azure monitoring operational issue,Resolved,Cloud Operations,6.33,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00087,2026-06-29T08:00:00,Azure,Compute,P4,Azure compute operational issue,Resolved,Cloud Operations,36.74,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00088,2026-03-14T06:00:00,AWS,Terraform,P4,AWS terraform operational issue,Resolved,Cloud Operations,19.29,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00089,2026-06-18T02:00:00,AWS,Identity,P4,AWS identity operational issue,Resolved,Cloud Operations,2.06,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00090,2026-05-01T04:00:00,AWS,Network,P3,AWS network operational issue,Resolved,Cloud Operations,9.13,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00091,2026-06-14T07:00:00,AWS,Storage,P3,AWS storage operational issue,Resolved,Cloud Operations,10.58,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00092,2026-03-29T15:00:00,AWS,Storage,P2,AWS storage operational issue,Resolved,Cloud Operations,10.44,No,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00093,2026-05-02T03:00:00,AWS,Identity,P2,AWS identity operational issue,Resolved,Cloud Operations,3.75,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00094,2026-04-15T01:00:00,AWS,Database,P4,AWS database operational issue,Resolved,Cloud Operations,11.24,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00095,2026-02-15T10:00:00,AWS,Storage,P3,AWS storage operational issue,Resolved,Cloud Operations,9.16,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00096,2026-03-19T16:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,5.55,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00097,2026-02-08T02:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,33.43,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00098,2026-01-08T02:00:00,AWS,Network,P3,AWS network operational issue,Resolved,Cloud Operations,30.82,No,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00099,2026-06-25T09:00:00,AWS,Terraform,P3,AWS terraform operational issue,Resolved,Cloud Operations,18.72,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00100,2026-02-24T02:00:00,Azure,Monitoring,P3,Azure monitoring operational issue,Resolved,Cloud Operations,10.79,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00101,2026-06-22T17:00:00,AWS,Network,P2,AWS network operational issue,Resolved,Cloud Operations,6.63,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00102,2026-04-20T16:00:00,Azure,Cost,P3,Azure cost operational issue,Resolved,Cloud Operations,38.93,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00103,2026-01-11T05:00:00,AWS,Compute,P3,AWS compute operational issue,Resolved,Cloud Operations,23.33,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00104,2026-02-05T12:00:00,Azure,Backup,P4,Azure backup operational issue,Resolved,Cloud Operations,20.97,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00105,2026-05-06T05:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,33.41,No,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00106,2026-05-14T06:00:00,Azure,Network,P4,Azure network operational issue,Resolved,Cloud Operations,24.45,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00107,2026-04-11T19:00:00,AWS,Monitoring,P3,AWS monitoring operational issue,Resolved,Cloud Operations,30.79,No,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00108,2026-04-22T04:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,34.02,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00109,2026-04-26T11:00:00,Azure,Backup,P4,Azure backup operational issue,Resolved,Cloud Operations,29.0,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00110,2026-04-17T22:00:00,Azure,Database,P3,Azure database operational issue,Resolved,Cloud Operations,3.17,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00111,2026-06-18T05:00:00,AWS,Backup,P3,AWS backup operational issue,Resolved,Cloud Operations,29.84,No,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00112,2026-05-28T00:00:00,AWS,Identity,P4,AWS identity operational issue,Resolved,Cloud Operations,31.3,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00113,2026-06-02T01:00:00,Azure,Network,P4,Azure network operational issue,Resolved,Cloud Operations,18.84,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00114,2026-06-14T23:00:00,Azure,Cost,P4,Azure cost operational issue,Resolved,Cloud Operations,18.27,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00115,2026-05-31T07:00:00,AWS,Network,P3,AWS network operational issue,Resolved,Cloud Operations,27.49,No,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00116,2026-05-19T15:00:00,Azure,Cost,P3,Azure cost operational issue,Resolved,Cloud Operations,17.87,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00117,2026-02-12T09:00:00,Azure,Storage,P3,Azure storage operational issue,Resolved,Cloud Operations,19.2,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00118,2026-05-06T05:00:00,AWS,Security,P4,AWS security operational issue,Resolved,Cloud Operations,28.35,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00119,2026-06-15T03:00:00,AWS,Compute,P4,AWS compute operational issue,Resolved,Cloud Operations,14.05,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00120,2026-05-19T05:00:00,AWS,Backup,P4,AWS backup operational issue,Resolved,Cloud Operations,0.71,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00121,2026-03-13T17:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,2.31,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00122,2026-05-04T07:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,21.05,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00123,2026-06-25T17:00:00,Azure,Network,P1,Azure network operational issue,Resolved,Cloud Operations,9.14,No,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00124,2026-06-24T14:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,32.24,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00125,2026-04-24T09:00:00,Azure,Network,P4,Azure network operational issue,Resolved,Cloud Operations,12.63,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00126,2026-03-08T23:00:00,AWS,Monitoring,P4,AWS monitoring operational issue,Resolved,Cloud Operations,29.62,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00127,2026-02-02T17:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,21.92,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00128,2026-06-03T11:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,11.51,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00129,2026-05-11T11:00:00,Azure,Database,P4,Azure database operational issue,Resolved,Cloud Operations,22.29,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00130,2026-03-27T01:00:00,Azure,Monitoring,P3,Azure monitoring operational issue,Resolved,Cloud Operations,25.09,No,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00131,2026-01-27T05:00:00,Azure,Backup,P4,Azure backup operational issue,Resolved,Cloud Operations,2.24,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00132,2026-05-18T18:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,36.98,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00133,2026-06-12T11:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,29.93,No,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00134,2026-03-14T23:00:00,Azure,Identity,P4,Azure identity operational issue,Resolved,Cloud Operations,31.47,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00135,2026-02-07T16:00:00,AWS,Backup,P2,AWS backup operational issue,Resolved,Cloud Operations,6.19,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00136,2026-03-29T06:00:00,AWS,Terraform,P3,AWS terraform operational issue,Resolved,Cloud Operations,24.0,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00137,2026-05-24T02:00:00,Azure,Network,P4,Azure network operational issue,Resolved,Cloud Operations,15.81,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00138,2026-05-31T03:00:00,Azure,Network,P4,Azure network operational issue,Resolved,Cloud Operations,33.03,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
