resource_id,technical_owner,business_owner,cost_center,criticality,data_classification
R-00165,Platform,Finance,CC-836,Critical,Confidential
R-00166,Application,Operations,CC-321,Critical,Public
R-00167,Platform,Finance,CC-128,Low,Public
R-00168,Platform,Operations,CC-768,Critical,Confidential
R-00169,Platform,Operations,CC-533,Medium,Internal
R-00170,Application,Finance,CC-231,High,Public
R-00171,Platform,Operations,CC-277,Medium,Internal
R-00172,Platform,Finance,CC-180,High,Public
R-00173,Application,Operations,CC-425,Low,Internal
R-00174,Platform,Retail,CC-544,Medium,Internal
R-00175,CloudOps,Operations,CC-188,High,Confidential
R-00176,Platform,Finance,CC-738,Low,Public
R-00177,CloudOps,Retail,CC-135,Low,Public
R-00178,CloudOps,Retail,CC-107,Low,Confidential
R-00179,CloudOps,Finance,CC-995,Critical,Confidential
R-00180,Application,Finance,CC-411,Low,Internal
R-00181,CloudOps,Retail,CC-291,Medium,Internal
R-00182,CloudOps,Operations,CC-163,Low,Internal
R-00183,CloudOps,Retail,CC-944,Medium,Internal
R-00184,CloudOps,Retail,CC-893,Low,Internal
R-00185,Platform,Finance,CC-257,Low,Public
R-00186,Platform,Operations,CC-536,Medium,Internal
R-00187,Platform,Retail,CC-396,High,Public
R-00188,Application,Operations,CC-434,Critical,Internal
R-00189,Platform,Operations,CC-751,Critical,Internal
R-00190,Platform,Finance,CC-907,Critical,Public
R-00191,CloudOps,Retail,CC-222,Low,Internal
R-00192,Platform,Operations,CC-995,Medium,Public
R-00193,CloudOps,Finance,CC-622,Critical,Internal
R-00194,CloudOps,Retail,CC-314,Medium,Internal
R-00195,CloudOps,Operations,CC-609,Medium,Confidential
R-00196,Application,Operations,CC-450,High,Internal
R-00197,Platform,Retail,CC-990,Critical,Internal
R-00198,Application,Operations,CC-676,High,Confidential
R-00199,Platform,Finance,CC-932,Critical,Internal
R-00200,Application,Operations,CC-502,Low,Confidential
R-00201,Application,Finance,CC-345,Critical,Confidential
R-00202,Application,Operations,CC-919,Medium,Public
R-00203,Application,Finance,CC-607,High,Confidential
R-00204,Application,Operations,CC-264,Critical,Confidential
R-00205,Platform,Operations,CC-736,High,Internal
R-00206,CloudOps,Operations,CC-708,Medium,Confidential
R-00207,Platform,Operations,CC-322,Critical,Public
R-00208,CloudOps,Operations,CC-915,Critical,Public
R-00209,CloudOps,Finance,CC-117,Medium,Internal
R-00210,CloudOps,Retail,CC-127,Critical,Internal
R-00211,CloudOps,Retail,CC-807,Critical,Internal
R-00212,CloudOps,Retail,CC-978,Medium,Internal
R-00213,Application,Finance,CC-489,Medium,Confidential
R-00214,Platform,Retail,CC-337,Medium,Public
R-00215,Application,Retail,CC-669,Medium,Confidential
R-00216,CloudOps,Retail,CC-441,Low,Public
R-00217,CloudOps,Retail,CC-818,Critical,Confidential
R-00218,Application,Operations,CC-218,Low,Public
R-00219,CloudOps,Retail,CC-296,Critical,Public
R-00220,Application,Operations,CC-101,Low,Internal
R-00221,Application,Retail,CC-696,High,Public
R-00222,Platform,Retail,CC-833,High,Public
R-00223,CloudOps,Operations,CC-516,High,Confidential
R-00224,Application,Retail,CC-667,Critical,Internal
R-00225,Platform,Retail,CC-944,Medium,Public
R-00226,Platform,Retail,CC-810,Medium,Public
R-00227,CloudOps,Finance,CC-439,Critical,Confidential
R-00228,Application,Operations,CC-840,Low,Internal
R-00229,CloudOps,Retail,CC-884,Low,Public
R-00230,CloudOps,Retail,CC-236,Medium,Public
R-00231,Platform,Operations,CC-940,High,Internal
R-00232,Platform,Finance,CC-152,Critical,Confidential
R-00233,CloudOps,Finance,CC-874,Low,Public
R-00234,Application,Finance,CC-833,Low,Confidential
R-00235,Application,Finance,CC-152,Critical,Confidential
R-00236,Application,Operations,CC-148,Critical,Public
R-00237,Platform,Operations,CC-942,Medium,Confidential
R-00238,Platform,Retail,CC-139,Critical,Public
R-00239,Application,Retail,CC-143,Low,Public
R-00240,CloudOps,Operations,CC-912,Low,Confidential
R-00241,Platform,Operations,CC-139,Low,Public
R-00242,Application,Finance,CC-991,Medium,Confidential
R-00243,Application,Finance,CC-318,Medium,Internal
R-00244,Application,Finance,CC-442,Critical,Public
R-00245,Application,Operations,CC-788,Medium,Confidential
R-00246,CloudOps,Finance,CC-571,Low,Confidential
R-00247,Platform,Operations,CC-203,Medium,Confidential
R-00248,CloudOps,Operations,CC-386,Critical,Confidential
R-00249,Platform,Operations,CC-500,Medium,Confidential
R-00250,Platform,Finance,CC-399,Medium,Public
R-00251,Application,Retail,CC-546,Medium,Confidential
R-00252,Application,Retail,CC-351,Medium,Internal
R-00253,CloudOps,Retail,CC-543,High,Internal
R-00254,Application,Finance,CC-656,Medium,Confidential
R-00255,CloudOps,Retail,CC-436,Low,Public
R-00256,Application,Retail,CC-615,Medium,Internal
R-00257,Platform,Retail,CC-722,Critical,Confidential
R-00258,Application,Finance,CC-172,Low,Public
R-00259,Application,Operations,CC-332,Critical,Internal
R-00260,CloudOps,Finance,CC-960,Low,Public
R-00261,CloudOps,Retail,CC-239,Medium,Public
R-00262,Platform,Retail,CC-693,High,Public
R-00263,CloudOps,Finance,CC-312,Critical,Internal
R-00264,CloudOps,Operations,CC-879,Critical,Public
R-00265,Application,Retail,CC-399,High,Internal
R-00266,CloudOps,Operations,CC-271,Low,Public
R-00267,Platform,Finance,CC-499,Low,Public
R-00268,Application,Finance,CC-965,High,Public
R-00269,CloudOps,Finance,CC-451,Low,Confidential
R-00270,Application,Finance,CC-925,High,Internal
R-00271,CloudOps,Finance,CC-217,Critical,Public
R-00272,Application,Retail,CC-761,Low,Public
R-00273,Application,Finance,CC-931,Critical,Public
R-00274,Application,Operations,CC-993,Low,Internal
R-00275,Application,Finance,CC-573,Medium,Internal
R-00276,Platform,Finance,CC-664,High,Confidential
R-00277,CloudOps,Finance,CC-908,Low,Public
R-00278,Platform,Finance,CC-381,Critical,Public
R-00279,CloudOps,Retail,CC-907,Low,Public
R-00280,Application,Finance,CC-188,Medium,Public
R-00281,Application,Finance,CC-898,Low,Confidential
R-00282,Application,Operations,CC-886,Critical,Public
R-00283,Application,Finance,CC-903,Medium,Internal
R-00284,Application,Finance,CC-872,High,Internal
R-00285,Application,Finance,CC-606,Low,Confidential
R-00286,Platform,Operations,CC-723,Critical,Confidential
R-00287,Platform,Finance,CC-356,High,Confidential
R-00288,CloudOps,Retail,CC-216,Medium,Confidential
R-00289,Platform,Operations,CC-160,High,Confidential
R-00290,Application,Retail,CC-323,Critical,Internal
R-00291,Application,Operations,CC-321,Medium,Public
R-00292,CloudOps,Retail,CC-605,High,Internal
R-00293,Platform,Finance,CC-495,Critical,Public
R-00294,CloudOps,Finance,CC-273,High,Public
R-00295,CloudOps,Finance,CC-192,High,Public
R-00296,Application,Operations,CC-570,Medium,Internal
R-00297,Platform,Operations,CC-678,Low,Public
R-00298,CloudOps,Operations,CC-704,Medium,Confidential
R-00299,Application,Operations,CC-956,Critical,Internal
R-00300,Platform,Operations,CC-827,High,Public
R-00301,Platform,Finance,CC-370,Critical,Public
R-00302,Application,Retail,CC-401,Critical,Public
R-00303,Platform,Operations,CC-925,Low,Confidential
R-00304,Application,Operations,CC-872,Medium,Confidential
R-00305,Application,Retail,CC-318,Medium,Confidential
R-00306,Platform,Finance,CC-531,Low,Public
R-00307,Platform,Finance,CC-118,Medium,Confidential
R-00308,Application,Finance,CC-489,High,Public
R-00309,Platform,Operations,CC-220,Medium,Public
R-00310,CloudOps,Operations,CC-245,Critical,Internal
R-00311,CloudOps,Operations,CC-353,Low,Public
R-00312,Application,Finance,CC-909,High,Internal
R-00313,Platform,Finance,CC-556,Low,Confidential
R-00314,CloudOps,Finance,CC-978,Critical,Public
R-00315,Platform,Operations,CC-454,High,Internal
R-00316,Application,Retail,CC-257,Critical,Internal
R-00317,CloudOps,Operations,CC-532,Medium,Confidential
R-00318,Platform,Operations,CC-123,Low,Confidential
R-00319,Platform,Retail,CC-909,Low,Public
R-00320,CloudOps,Retail,CC-989,High,Internal
R-00321,Platform,Operations,CC-680,Low,Internal
R-00322,Application,Operations,CC-455,Low,Public
R-00323,Application,Operations,CC-823,Low,Confidential
R-00324,Application,Operations,CC-136,Critical,Internal
R-00325,Platform,Operations,CC-217,High,Internal
R-00326,Platform,Retail,CC-716,Critical,Public
R-00327,Platform,Operations,CC-136,Critical,Public
R-00328,CloudOps,Finance,CC-791,Low,Public
R-00329,CloudOps,Retail,CC-996,Low,Confidential
R-00330,CloudOps,Retail,CC-186,High,Public
R-00331,Application,Finance,CC-954,Medium,Internal
R-00332,CloudOps,Finance,CC-636,Critical,Confidential
R-00333,Platform,Finance,CC-248,Medium,Public
R-00334,Platform,Retail,CC-855,High,Confidential
R-00335,Platform,Operations,CC-353,High,Public
R-00336,CloudOps,Finance,CC-156,Critical,Confidential
R-00337,CloudOps,Operations,CC-917,Critical,Public
R-00338,Platform,Retail,CC-437,Low,Confidential
R-00339,CloudOps,Operations,CC-241,Low,Public
R-00340,Application,Finance,CC-170,High,Confidential
R-00341,Application,Operations,CC-749,High,Internal
R-00342,Platform,Retail,CC-923,Medium,Public
R-00343,Application,Operations,CC-540,Low,Public
R-00344,CloudOps,Retail,CC-393,Low,Internal
R-00345,Platform,Retail,CC-270,Medium,Confidential
R-00346,Platform,Operations,CC-285,Critical,Confidential
R-00347,CloudOps,Retail,CC-895,High,Confidential
R-00348,Platform,Retail,CC-309,Critical,Public
R-00349,CloudOps,Retail,CC-403,Low,Internal
R-00350,Platform,Operations,CC-513,Medium,Confidential
R-00351,Platform,Finance,CC-267,Critical,Internal
R-00352,Application,Retail,CC-634,High,Public
R-00353,Platform,Operations,CC-196,Medium,Internal
R-00354,Application,Operations,CC-191,Critical,Internal
R-00355,CloudOps,Retail,CC-114,High,Confidential
R-00356,Application,Finance,CC-445,Low,Confidential
R-00357,Platform,Retail,CC-458,High,Public
R-00358,Platform,Operations,CC-689,Critical,Public
R-00359,Application,Operations,CC-686,Low,Confidential
R-00360,CloudOps,Retail,CC-281,Low,Public
R-00361,CloudOps,Retail,CC-200,Low,Internal
R-00362,CloudOps,Finance,CC-288,High,Internal
R-00363,Platform,Finance,CC-538,Low,Public
R-00364,Platform,Retail,CC-189,Medium,Confidential
R-00365,Platform,Retail,CC-302,Medium,Confidential
R-00366,CloudOps,Operations,CC-384,Critical,Public
R-00367,CloudOps,Finance,CC-939,Medium,Internal
R-00368,CloudOps,Operations,CC-676,Critical,Confidential
R-00369,Platform,Retail,CC-971,Critical,Public
R-00370,CloudOps,Retail,CC-190,Low,Public
R-00371,Application,Finance,CC-708,High,Internal
R-00372,CloudOps,Retail,CC-574,Medium,Public
R-00373,CloudOps,Finance,CC-765,Low,Confidential
R-00374,CloudOps,Operations,CC-751,Medium,Internal
R-00375,Platform,Operations,CC-347,High,Public
R-00376,Platform,Operations,CC-175,Critical,Internal
R-00377,Application,Retail,CC-635,Medium,Public
R-00378,CloudOps,Retail,CC-414,High,Confidential
R-00379,Application,Finance,CC-723,Critical,Public
R-00380,Platform,Retail,CC-922,Critical,Confidential
R-00381,CloudOps,Operations,CC-381,Critical,Confidential
R-00382,Platform,Retail,CC-566,Critical,Internal
R-00383,Platform,Finance,CC-728,High,Internal
R-00384,CloudOps,Retail,CC-288,Medium,Public
R-00385,Application,Retail,CC-233,Critical,Internal
R-00386,CloudOps,Finance,CC-572,High,Internal
R-00387,Platform,Operations,CC-246,High,Public
R-00388,Application,Operations,CC-380,Critical,Internal
R-00389,CloudOps,Retail,CC-334,High,Confidential
R-00390,Platform,Finance,CC-577,Medium,Public
R-00391,Platform,Finance,CC-621,Medium,Confidential
R-00392,Platform,Retail,CC-428,Low,Internal
R-00393,Platform,Retail,CC-859,Critical,Public
R-00394,Platform,Finance,CC-673,Critical,Internal
R-00395,Application,Retail,CC-228,Critical,Confidential
R-00396,CloudOps,Finance,CC-178,High,Internal
R-00397,Platform,Operations,CC-339,High,Public
R-00398,CloudOps,Retail,CC-242,Critical,Confidential
R-00399,CloudOps,Finance,CC-501,Critical,Confidential
R-00400,Platform,Finance,CC-740,Critical,Public
R-00401,Application,Finance,CC-960,High,Internal
R-00402,CloudOps,Operations,CC-854,High,Public
R-00403,CloudOps,Operations,CC-708,Medium,Internal
R-00404,CloudOps,Retail,CC-114,Low,Public
R-00405,Platform,Operations,CC-427,High,Public
R-00406,Application,Operations,CC-248,Low,Internal
R-00407,CloudOps,Retail,CC-733,Low,Internal
R-00408,Platform,Finance,CC-463,High,Confidential
R-00409,CloudOps,Retail,CC-581,Low,Confidential
R-00410,CloudOps,Retail,CC-106,Medium,Public
R-00411,CloudOps,Retail,CC-219,High,Public
R-00412,Application,Finance,CC-808,Low,Confidential
R-00413,Platform,Finance,CC-956,Critical,Internal
R-00414,CloudOps,Retail,CC-477,Low,Public
R-00415,Application,Retail,CC-410,Critical,Internal
R-00416,CloudOps,Retail,CC-209,High,Public
R-00417,Platform,Operations,CC-201,Critical,Internal
R-00418,Application,Finance,CC-750,Medium,Confidential
R-00419,Platform,Operations,CC-740,Low,Public
R-00420,CloudOps,Finance,CC-622,Critical,Confidential
R-00421,CloudOps,Retail,CC-187,Low,Internal
R-00422,Application,Retail,CC-543,Critical,Internal
R-00423,Application,Finance,CC-217,Critical,Internal
R-00424,Application,Finance,CC-982,High,Confidential
R-00425,CloudOps,Operations,CC-379,Critical,Public
R-00426,Platform,Retail,CC-195,High,Internal
R-00427,CloudOps,Retail,CC-927,High,Public
R-00428,Platform,Operations,CC-557,High,Confidential
R-00429,CloudOps,Finance,CC-295,High,Public
R-00430,CloudOps,Retail,CC-730,Critical,Confidential
R-00431,Application,Retail,CC-239,Low,Internal
R-00432,CloudOps,Operations,CC-587,Low,Internal
R-00433,Platform,Retail,CC-834,Medium,Public
R-00434,Platform,Finance,CC-913,High,Public
R-00435,Application,Retail,CC-691,High,Public
R-00436,CloudOps,Operations,CC-529,Critical,Internal
R-00437,Platform,Operations,CC-971,Medium,Public
R-00438,Platform,Operations,CC-106,Low,Confidential
R-00439,CloudOps,Retail,CC-655,High,Internal
R-00440,Platform,Operations,CC-842,Critical,Internal
R-00441,CloudOps,Retail,CC-434,Low,Public
R-00442,Platform,Finance,CC-653,Critical,Public
R-00443,Application,Finance,CC-645,High,Internal
R-00444,Application,Operations,CC-832,Critical,Internal
R-00445,Platform,Finance,CC-418,Medium,Public
R-00446,CloudOps,Retail,CC-232,Critical,Internal
R-00447,CloudOps,Finance,CC-296,High,Internal
R-00448,CloudOps,Finance,CC-884,Medium,Confidential
R-00449,CloudOps,Operations,CC-489,Critical,Public
R-00450,Platform,Operations,CC-661,High,Internal
R-00451,Platform,Retail,CC-315,High,Public
R-00452,Platform,Operations,CC-849,Low,Internal
R-00453,Platform,Retail,CC-749,Low,Internal
R-00454,Application,Operations,CC-697,High,Confidential
R-00455,CloudOps,Retail,CC-443,High,Confidential
R-00456,CloudOps,Retail,CC-122,High,Confidential
R-00457,Application,Operations,CC-313,Critical,Internal
R-00458,Application,Operations,CC-116,Critical,Public
R-00459,Platform,Finance,CC-193,High,Confidential
R-00460,Platform,Retail,CC-344,Low,Public
R-00461,Platform,Operations,CC-765,High,Public
R-00462,Application,Retail,CC-222,High,Confidential
R-00463,CloudOps,Operations,CC-126,High,Public
R-00464,Application,Operations,CC-529,High,Confidential
R-00465,CloudOps,Finance,CC-619,Medium,Internal
R-00466,Application,Finance,CC-458,High,Confidential
R-00467,Platform,Operations,CC-409,Medium,Public
R-00468,Application,Finance,CC-685,Medium,Internal
R-00469,CloudOps,Finance,CC-151,Low,Confidential
R-00470,CloudOps,Operations,CC-611,High,Confidential
R-00471,Platform,Retail,CC-472,Critical,Public
R-00472,Platform,Finance,CC-244,Low,Confidential
R-00473,Platform,Finance,CC-609,Critical,Confidential
R-00474,Application,Finance,CC-239,Low,Confidential
R-00475,CloudOps,Operations,CC-374,Medium,Internal
R-00476,Platform,Finance,CC-433,Medium,Internal
R-00477,Application,Finance,CC-424,High,Internal
R-00478,Application,Retail,CC-907,Medium,Internal
R-00479,CloudOps,Operations,CC-354,Medium,Internal
R-00480,Application,Operations,CC-535,High,Internal
R-00481,Platform,Retail,CC-761,High,Internal
R-00482,CloudOps,Retail,CC-925,Critical,Internal
R-00483,Application,Retail,CC-287,Critical,Confidential
R-00484,Platform,Operations,CC-586,Critical,Internal
R-00485,CloudOps,Operations,CC-536,Low,Internal
R-00486,Platform,Retail,CC-631,Medium,Public
R-00487,Platform,Finance,CC-878,Critical,Public
R-00488,Application,Finance,CC-638,Low,Internal
R-00489,Application,Retail,CC-499,Critical,Internal
R-00490,Application,Finance,CC-591,Medium,Public
R-00491,Application,Operations,CC-657,Low,Confidential
R-00492,CloudOps,Operations,CC-545,High,Confidential
R-00493,Platform,Retail,CC-442,Low,Confidential
R-00494,CloudOps,Finance,CC-640,Low,Internal
R-00495,Application,Operations,CC-698,Low,Confidential
R-00496,CloudOps,Retail,CC-396,Critical,Public
R-00497,Application,Operations,CC-325,Low,Public
R-00498,Application,Finance,CC-514,Critical,Internal
R-00499,CloudOps,Operations,CC-695,High,Internal
R-00500,Platform,Finance,CC-971,Low,Confidential
