ticket_id,opened,closed,priority,category,issue,asset,requester,resolution_minutes,sla_met,root_cause,resolution,customer_confirmation
OPS-0021,2026-01-13T05:00,2026-01-13T08:51,P3,Identity,Password/MFA,IDE-121,Employee 021,231,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0022,2026-01-13T14:00,2026-01-13T21:22,P4,Network,VPN,NET-122,Employee 022,442,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0023,2026-01-13T23:00,2026-01-14T02:53,P3,Microsoft 365,Outlook,MIC-123,Employee 023,233,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0024,2026-01-14T08:00,2026-01-14T11:54,P3,Infrastructure,Disk capacity,INF-124,Employee 024,234,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0025,2026-01-14T17:00,2026-01-14T19:00,P2,AWS,EC2 unreachable,AWS-125,Employee 025,120,Yes,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0026,2026-01-15T02:00,2026-01-15T05:56,P3,Endpoint,Intune enrollment,END-126,Employee 026,236,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0027,2026-01-15T11:00,2026-01-15T18:27,P4,Linux,Linux service,LIN-127,Employee 027,447,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0028,2026-01-15T20:00,2026-01-15T23:58,P3,Endpoint,Printer,END-128,Employee 028,238,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0029,2026-01-16T05:00,2026-01-16T08:59,P3,Network,DNS,NET-129,Employee 029,239,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0030,2026-01-16T14:00,2026-01-16T16:05,P2,Identity,Access request,IDE-130,Employee 030,125,No,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
OPS-0031,2026-01-16T23:00,2026-01-17T03:01,P3,Identity,Password/MFA,IDE-131,Employee 031,241,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0032,2026-01-17T08:00,2026-01-17T15:32,P4,Network,VPN,NET-132,Employee 032,452,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0033,2026-01-17T17:00,2026-01-17T21:03,P3,Microsoft 365,Outlook,MIC-133,Employee 033,243,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0034,2026-01-18T02:00,2026-01-18T06:04,P3,Infrastructure,Disk capacity,INF-134,Employee 034,244,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0035,2026-01-18T11:00,2026-01-18T13:10,P2,AWS,EC2 unreachable,AWS-135,Employee 035,130,No,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0036,2026-01-18T20:00,2026-01-19T00:06,P3,Endpoint,Intune enrollment,END-136,Employee 036,246,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0037,2026-01-19T05:00,2026-01-19T12:00,P4,Linux,Linux service,LIN-137,Employee 037,420,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0038,2026-01-19T14:00,2026-01-19T17:31,P3,Endpoint,Printer,END-138,Employee 038,211,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0039,2026-01-19T23:00,2026-01-20T02:32,P3,Network,DNS,NET-139,Employee 039,212,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0040,2026-01-20T08:00,2026-01-20T09:38,P2,Identity,Access request,IDE-140,Employee 040,98,Yes,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
OPS-0041,2026-01-20T17:00,2026-01-20T20:34,P3,Identity,Password/MFA,IDE-141,Employee 041,214,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0042,2026-01-21T02:00,2026-01-21T09:05,P4,Network,VPN,NET-142,Employee 042,425,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0043,2026-01-21T11:00,2026-01-21T14:36,P3,Microsoft 365,Outlook,MIC-143,Employee 043,216,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0044,2026-01-21T20:00,2026-01-21T23:37,P3,Infrastructure,Disk capacity,INF-144,Employee 044,217,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0045,2026-01-22T05:00,2026-01-22T06:43,P2,AWS,EC2 unreachable,AWS-145,Employee 045,103,Yes,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0046,2026-01-22T14:00,2026-01-22T17:39,P3,Endpoint,Intune enrollment,END-146,Employee 046,219,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0047,2026-01-22T23:00,2026-01-23T06:10,P4,Linux,Linux service,LIN-147,Employee 047,430,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0048,2026-01-23T08:00,2026-01-23T11:41,P3,Endpoint,Printer,END-148,Employee 048,221,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0049,2026-01-23T17:00,2026-01-23T20:42,P3,Network,DNS,NET-149,Employee 049,222,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0050,2026-01-24T02:00,2026-01-24T03:48,P2,Identity,Access request,IDE-150,Employee 050,108,Yes,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
OPS-0051,2026-01-24T11:00,2026-01-24T14:44,P3,Identity,Password/MFA,IDE-151,Employee 051,224,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0052,2026-01-24T20:00,2026-01-25T03:15,P4,Network,VPN,NET-152,Employee 052,435,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0053,2026-01-25T05:00,2026-01-25T08:46,P3,Microsoft 365,Outlook,MIC-153,Employee 053,226,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0054,2026-01-25T14:00,2026-01-25T17:47,P3,Infrastructure,Disk capacity,INF-154,Employee 054,227,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0055,2026-01-25T23:00,2026-01-26T00:53,P2,AWS,EC2 unreachable,AWS-155,Employee 055,113,Yes,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0056,2026-01-26T08:00,2026-01-26T11:49,P3,Endpoint,Intune enrollment,END-156,Employee 056,229,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0057,2026-01-26T17:00,2026-01-27T00:20,P4,Linux,Linux service,LIN-157,Employee 057,440,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0058,2026-01-27T02:00,2026-01-27T05:51,P3,Endpoint,Printer,END-158,Employee 058,231,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0059,2026-01-27T11:00,2026-01-27T14:52,P3,Network,DNS,NET-159,Employee 059,232,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0060,2026-01-27T20:00,2026-01-27T21:58,P2,Identity,Access request,IDE-160,Employee 060,118,Yes,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
OPS-0061,2026-01-28T05:00,2026-01-28T08:54,P3,Identity,Password/MFA,IDE-161,Employee 061,234,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0062,2026-01-28T14:00,2026-01-28T21:25,P4,Network,VPN,NET-162,Employee 062,445,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0063,2026-01-28T23:00,2026-01-29T02:56,P3,Microsoft 365,Outlook,MIC-163,Employee 063,236,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0064,2026-01-29T08:00,2026-01-29T11:57,P3,Infrastructure,Disk capacity,INF-164,Employee 064,237,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0065,2026-01-29T17:00,2026-01-29T19:03,P2,AWS,EC2 unreachable,AWS-165,Employee 065,123,No,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0066,2026-01-30T02:00,2026-01-30T05:59,P3,Endpoint,Intune enrollment,END-166,Employee 066,239,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0067,2026-01-30T11:00,2026-01-30T18:30,P4,Linux,Linux service,LIN-167,Employee 067,450,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0068,2026-01-30T20:00,2026-01-31T00:01,P3,Endpoint,Printer,END-168,Employee 068,241,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0069,2026-01-31T05:00,2026-01-31T09:02,P3,Network,DNS,NET-169,Employee 069,242,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0070,2026-01-31T14:00,2026-01-31T16:08,P2,Identity,Access request,IDE-170,Employee 070,128,No,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
OPS-0071,2026-01-31T23:00,2026-02-01T03:04,P3,Identity,Password/MFA,IDE-171,Employee 071,244,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0072,2026-02-01T08:00,2026-02-01T15:35,P4,Network,VPN,NET-172,Employee 072,455,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0073,2026-02-01T17:00,2026-02-01T21:06,P3,Microsoft 365,Outlook,MIC-173,Employee 073,246,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0074,2026-02-02T02:00,2026-02-02T05:30,P3,Infrastructure,Disk capacity,INF-174,Employee 074,210,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0075,2026-02-02T11:00,2026-02-02T12:36,P2,AWS,EC2 unreachable,AWS-175,Employee 075,96,Yes,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0076,2026-02-02T20:00,2026-02-02T23:32,P3,Endpoint,Intune enrollment,END-176,Employee 076,212,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0077,2026-02-03T05:00,2026-02-03T12:03,P4,Linux,Linux service,LIN-177,Employee 077,423,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0078,2026-02-03T14:00,2026-02-03T17:34,P3,Endpoint,Printer,END-178,Employee 078,214,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0079,2026-02-03T23:00,2026-02-04T02:35,P3,Network,DNS,NET-179,Employee 079,215,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0080,2026-02-04T08:00,2026-02-04T09:41,P2,Identity,Access request,IDE-180,Employee 080,101,Yes,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
OPS-0081,2026-02-04T17:00,2026-02-04T20:37,P3,Identity,Password/MFA,IDE-181,Employee 081,217,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0082,2026-02-05T02:00,2026-02-05T09:08,P4,Network,VPN,NET-182,Employee 082,428,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0083,2026-02-05T11:00,2026-02-05T14:39,P3,Microsoft 365,Outlook,MIC-183,Employee 083,219,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0084,2026-02-05T20:00,2026-02-05T23:40,P3,Infrastructure,Disk capacity,INF-184,Employee 084,220,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0085,2026-02-06T05:00,2026-02-06T06:46,P2,AWS,EC2 unreachable,AWS-185,Employee 085,106,Yes,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0086,2026-02-06T14:00,2026-02-06T17:42,P3,Endpoint,Intune enrollment,END-186,Employee 086,222,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0087,2026-02-06T23:00,2026-02-07T06:13,P4,Linux,Linux service,LIN-187,Employee 087,433,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0088,2026-02-07T08:00,2026-02-07T11:44,P3,Endpoint,Printer,END-188,Employee 088,224,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0089,2026-02-07T17:00,2026-02-07T20:45,P3,Network,DNS,NET-189,Employee 089,225,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0090,2026-02-08T02:00,2026-02-08T03:51,P2,Identity,Access request,IDE-190,Employee 090,111,Yes,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
OPS-0091,2026-02-08T11:00,2026-02-08T14:47,P3,Identity,Password/MFA,IDE-191,Employee 091,227,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0092,2026-02-08T20:00,2026-02-09T03:18,P4,Network,VPN,NET-192,Employee 092,438,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0093,2026-02-09T05:00,2026-02-09T08:49,P3,Microsoft 365,Outlook,MIC-193,Employee 093,229,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0094,2026-02-09T14:00,2026-02-09T17:50,P3,Infrastructure,Disk capacity,INF-194,Employee 094,230,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0095,2026-02-09T23:00,2026-02-10T00:56,P2,AWS,EC2 unreachable,AWS-195,Employee 095,116,Yes,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0096,2026-02-10T08:00,2026-02-10T11:52,P3,Endpoint,Intune enrollment,END-196,Employee 096,232,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0097,2026-02-10T17:00,2026-02-11T00:23,P4,Linux,Linux service,LIN-197,Employee 097,443,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0098,2026-02-11T02:00,2026-02-11T05:54,P3,Endpoint,Printer,END-198,Employee 098,234,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0099,2026-02-11T11:00,2026-02-11T14:55,P3,Network,DNS,NET-199,Employee 099,235,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0100,2026-02-11T20:00,2026-02-11T22:01,P2,Identity,Access request,IDE-200,Employee 100,121,No,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
