server,os,role,environment,cpu,memory_gb,disk_gb,patch_status,backup_status,owner
SRV-049,RHEL 9,Database,Development,16,64,512,Compliant,Warning,Infrastructure
SRV-050,Windows Server 2022,Application,Test,2,32,1024,Pending,Warning,Infrastructure
SRV-051,Ubuntu 22.04,AD/DNS,Production,16,8,128,Compliant,Success,Infrastructure
SRV-052,Windows Server 2019,Utility,Production,8,32,512,Compliant,Success,Infrastructure
SRV-053,RHEL 9,Backup,Test,4,16,1024,Pending,Warning,Infrastructure
SRV-054,Windows Server 2019,Monitoring,Development,8,8,1024,Pending,Success,Infrastructure
SRV-055,RHEL 9,AD/DNS,Test,2,32,1024,Pending,Success,Infrastructure
SRV-056,RHEL 9,Application,Production,16,8,512,Compliant,Warning,Infrastructure
SRV-057,RHEL 9,Utility,Development,8,8,1024,Compliant,Success,Infrastructure
SRV-058,RHEL 9,Monitoring,Test,2,64,512,Pending,Success,Infrastructure
SRV-059,Windows Server 2019,Application,Production,2,8,256,Compliant,Success,Infrastructure
SRV-060,Windows Server 2019,File,Production,4,32,256,Compliant,Warning,Infrastructure
SRV-061,Windows Server 2019,Utility,Development,2,16,1024,Compliant,Warning,Infrastructure
SRV-062,RHEL 9,Backup,Development,8,32,256,Compliant,Success,Infrastructure
SRV-063,RHEL 9,Database,Development,8,32,128,Compliant,Warning,Infrastructure
SRV-064,Windows Server 2022,Application,Test,16,8,128,Compliant,Success,Infrastructure
SRV-065,Windows Server 2022,Backup,Production,16,64,128,Compliant,Warning,Infrastructure
SRV-066,Windows Server 2019,Application,Development,16,16,128,Compliant,Success,Infrastructure
SRV-067,Ubuntu 22.04,Backup,Production,4,8,256,Pending,Success,Infrastructure
SRV-068,RHEL 9,Monitoring,Development,4,32,512,Compliant,Success,Infrastructure
SRV-069,RHEL 9,Utility,Test,2,32,128,Compliant,Success,Infrastructure
SRV-070,RHEL 9,Application,Test,4,32,128,Pending,Warning,Infrastructure
SRV-071,Windows Server 2019,Application,Test,16,16,128,Compliant,Warning,Infrastructure
SRV-072,RHEL 9,Backup,Test,4,8,1024,Pending,Success,Infrastructure
SRV-073,Windows Server 2022,Application,Test,4,16,512,Compliant,Success,Infrastructure
SRV-074,Windows Server 2019,File,Production,2,32,128,Pending,Warning,Infrastructure
SRV-075,Windows Server 2022,Backup,Test,4,64,256,Compliant,Success,Infrastructure
SRV-076,Windows Server 2019,Backup,Test,2,64,512,Pending,Warning,Infrastructure
SRV-077,Windows Server 2019,Database,Development,8,64,256,Pending,Success,Infrastructure
SRV-078,Ubuntu 22.04,Utility,Test,4,32,1024,Compliant,Success,Infrastructure
SRV-079,RHEL 9,Monitoring,Development,16,16,256,Pending,Success,Infrastructure
SRV-080,Ubuntu 22.04,AD/DNS,Development,16,32,128,Pending,Warning,Infrastructure
